


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
国立研究開発法人産業技術総合研究所  研究補助職員募集（昆虫内部共生系の研究補助 公募No. 2021-bpri_0003）  生物学 - 全て  常勤 (任期あり)  2021年02月15日
地方独立行政法人東京都健康長寿医療センター  東京都健康長寿医療センター　研究員の公募(老化神経生物学テーマ)  総合生物 - 神経科学 -- 医歯薬学 - 全て -- 生物学 - 全て  常勤 (任期あり)  2021年05月01日
飯田女子短期大学  飯田女子短期大学　家政学科　助手（専任教員）  複合領域 - 生活科学  常勤 (任期あり)  2021年02月26日
旭川大学短期大学部  教授、准教授または助教の公募（食物栄養専攻　栄養学の分野）  複合領域 - 生活科学  常勤 (任期あり)  2021年02月18日
鹿児島大学  発生発達成育学講座（口腔微生物学分野）担当助教候補者の募集について  医歯薬学 - 歯学 -- 医歯薬学 - 基礎医学 -- 生物学 - 生物科学  常勤 (任期あり)  2021年02月22日
順天堂大学  研究員の募集（契約職員・医学部神経生物学・形態学講座）  医歯薬学 - 基礎医学 -- 総合生物 - 神経科学 -- 生物学 - 人類学  常勤 (任期あり)  2021年02月26日
筑波学院大学  ＜情報学基礎分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  情報学 - 情報学基礎  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜計算基盤分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  情報学 - 計算基盤  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜人間情報学分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  情報学 - 人間情報学  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜情報学フロンティア分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  情報学 - 情報学フロンティア  常勤 (任期あり)  2021年02月10日
公益財団法人神戸医療産業都市推進機構  技術員（研究補助員）の募集（神経変性疾患研究部）  生物学 - 生物科学 -- 総合生物 - 神経科学 -- 医歯薬学 - 基礎医学  常勤 (任期あり)  2021年03月31日
長崎短期大学  保育学科専任教員（助教以上）の公募「保育原理」「保育者論」「保育内容総論」「カリキュラム論」  社会科学 - 教育学  常勤 (任期あり)  2021年02月10日
国立研究開発法人産業技術総合研究所  研究職員（プロジェクト型任期付）メタンハイドレート資源開発技術の研究開発  総合理工 - 全て -- 化学 - 全て -- 数物系科学 - 全て  常勤 (任期あり)  2021年03月31日
滋賀県立大学  滋賀県立大学　工学部　ガラス工学研究センター　講師の公募  工学 - 材料工学 -- 化学 - 材料化学 -- 数物系科学 - 地球惑星科学  常勤 (任期あり)  2021年04月12日
京都先端科学大学  英語嘱託講師の公募　英語教育学、英語学、英語圏文学、英語圏文化研究領域  社会科学 - 英語教育学 -- 人文学 - 英語学 -- 人文学 - 英語圏文学  常勤 (任期あり)  2021年01月29日
国立研究開発法人理化学研究所  上級研究員、研究員もしくは特別研究員募集（W20244）(量⼦計算理論研究チーム)  数物系科学 - 物理学 -- 工学 - 全て -- 情報学 - 数理・情報科学  常勤 (任期あり)  2022年01月20日
徳島大学  徳島大学特任技術員の公募について（技術支援部情報システムグループ）  工学 - 電気電子工学  常勤 (任期あり)  2021年02月26日
東北大学  東北大学材料科学高等研究所（AIMR）デバイス・システムグループ水上研究室 特任助教の募集  総合理工 - 全て -- 工学 - 全て  常勤 (任期あり)  2021年03月31日
東北大学  東北大学材料科学高等研究所（AIMR）藪研究室 NEDO官民による若手研究者発掘支援事業における特任助教の募集  総合理工 - ナノ・マイクロ科学 -- 化学 - 複合化学  常勤 (任期あり)  2021年03月31日
金沢大学  特任助教の公募（心理学）  社会科学 - 心理学  常勤 (任期あり)  2021年02月26日
経済社会総合研究所  内閣府経済社会総合研究所　任期付研究員の募集について  社会科学 - 経済学  常勤 (任期あり)  2021年02月18日
東京大学  特任助教または特任研究員 募集 (東京大学 和泉研究室)  情報学 - 全て -- 社会科学 - 経済学 -- 工学 - 総合工学  常勤 (任期あり)  2021年05月31日
小田原短期大学  専任教員「特任教授・特任准教授・特任講師・特任助教」の公募　保育学科通信教育課程「幼児教育分野(千葉地区）」  社会科学 - 教育学 -- 複合領域 - 子ども学 -- その他 - 保育学  常勤 (任期あり)  2021年02月15日
京都大学  特定研究員の公募（インフラ分野）  工学 - 土木工学 -- 工学 - 機械工学 -- 工学 - 電気電子工学  常勤 (任期あり)  2021年03月31日
国立研究開発法人科学技術振興機構  ヒトデータベース運営（機微データ共有支援）にかかる任期制職員の募集  医歯薬学 - 全て -- 生物学 - 全て -- 総合生物 - 全て  常勤 (任期あり)  2021年03月26日
東北大学  助教の公募  複合領域 - 全て  常勤 (任期あり)  2021年01月30日
国立研究開発法人理化学研究所  研究員または特別研究員募集（R-CCS2022）(プロセッサ研究チーム)  情報学 - 計算機科学  常勤 (任期あり)  2022年01月20日
奈良先端科学技術大学院大学  先端科学技術研究科　情報科学領域　知能コミュニケーション研究室　博士研究員　公募  情報学 - 人間情報学 -- 複合領域 - 脳科学 -- 複合領域 - 人間医工学  常勤 (任期あり)  2021年02月26日
横浜美術大学  横浜美術大学 美術学部 美術・デザイン学科　専任助手の公募について  複合領域 - デザイン学  常勤 (任期あり)  2021年02月19日
国立研究開発法人理化学研究所  研究員 または 特別研究員募集 (W20256)（神経動態医科学連携研究チーム）  生物学 - 全て -- 医歯薬学 - 医科学  常勤 (任期あり)  2022年01月20日
国立研究開発法人科学技術振興機構  戦略的創造研究推進事業にかかる任期制契約職員の募集(戦略研究推進部)  情報学 - 全て  常勤 (任期あり)  2021年02月05日
大阪大学  経営企画オフィス　リサーチ・アドミニストレーター（URA)公募  その他 - リサーチ・アドミニストレーション  常勤 (任期あり)  2021年02月01日
国立研究開発法人科学技術振興機構  科学技術情報流通調査にかかる任期制職員の募集（情報基盤事業部）  情報学 - 全て  常勤 (任期あり)  2021年02月12日
東京工業大学  未来社会DESIGN機構 リサーチ・アドミニストレーターの公募  その他 - リサーチ・アドミニストレーション業務  常勤 (任期あり)  2021年02月10日
公益財団法人福岡県産業・科学技術振興財団  システム開発技術カレッジ人材育成コーディネータの公募  その他 - 企業等の技術人材育成支援 -- その他 - 企業等の技術人材育成支援 -- その他 - 企業等の技術人材育成支援  常勤 (任期あり)  2021年02月26日
国立研究開発法人海洋研究開発機構  超先鋭研究開発部門　超先鋭研究プログラム　特任研究員　公募 （EGS20-016）  生物学 - 全て -- 農学 - 全て  常勤 (任期あり)  2021年02月12日
千葉大学  特任研究員・特任助教公募（生命科学分野）  生物学 - 生物科学 -- 医歯薬学 - 薬学 -- 農学 - 動物生命科学  常勤 (任期あり)  2021年02月17日
大阪大学  特任研究員（ポスドク）募集（大阪大学大学院医学系研究科　薬理学講座　統合薬理学）  医歯薬学 - 基礎医学 -- 総合生物 - 神経科学 -- 生物学 - 全て  常勤 (任期あり)  2021年02月15日
東京家政大学  子ども支援学科　助教の公募  社会科学 - 教育学  常勤 (任期あり)  2021年01月20日
兵庫県立大学  任期付客員教員の公募（国際商経学部特任助教）  社会科学 - 経済学 -- 社会科学 - 経営学  常勤 (任期あり)  2021年02月14日
株式会社KDDI総合研究所  有期契約研究員の募集(情報通信政策・制度・市場調査および学術誌企画発行）  社会科学 - 法学 -- 社会科学 - 経済学 -- 情報学 - 全て  常勤 (任期あり)  2021年01月31日
財団法人地球環境産業技術研究機構  研究員募集　　（化学研究グループ ）  工学 - 材料工学 -- 化学 - 全て  常勤 (任期あり)  2021年03月31日
財団法人地球環境産業技術研究機構  研究員募集　　（無機膜研究センター）  工学 - 分離工学、反応工学 -- 工学 - プロセス工学・化学工学  常勤 (任期あり)  2021年03月31日
国立研究開発法人物質・材料研究機構  NIMSポスドク研究員 (任期制)募集（ナノチューブグループ）①  総合理工 - ナノ・マイクロ科学  常勤 (任期あり)  2021年04月13日
国立研究開発法人物質・材料研究機構  NIMSポスドク研究員 (任期制)募集（ナノチューブグループ）②  総合理工 - ナノ・マイクロ科学  常勤 (任期あり)  2021年04月13日
外務省  任期付外務省職員の臨時募集(経済安全保障分野)  社会科学 - 全て -- 総合理工 - 全て -- その他 - AI等の先端技術、情報通信、サイバー、貿易、その他経済又は安全保障等の分野  常勤 (任期あり)  2021年01月22日
国際医療福祉大学  国際医療福祉大学赤坂心理・医療福祉マネジメント学部心理学科/大学院臨床心理学専攻　専任教員（教育心理）募集  社会科学 - 心理学  常勤 (任期あり)  2021年01月29日
国際医療福祉大学  国際医療福祉大学赤坂心理・医療福祉マネジメント学部医療マネジメント学科/大学院医療経営管理分野 専任教員募集  社会科学 - 経営組織論、医療マーケティング、医療経営 -- 医歯薬学 - 医療管理、医療人事管理  常勤 (任期あり)  2021年01月29日
